member_id,eligible_date,baseline_tier,mature,exposed,live_started,live_engaged,returned,live_error
member_00000,2026-08-02,frequent,1,1,1,0,0,0
member_00001,2026-08-11,occasional,1,1,0,0,0,0
member_00002,2026-08-05,frequent,1,0,1,1,1,0
member_00003,2026-08-11,occasional,1,1,1,1,0,0
member_00004,2026-08-09,frequent,1,1,1,1,1,0
member_00005,2026-08-22,occasional,0,1,1,1,0,0
member_00006,2026-08-22,frequent,0,1,1,1,1,0
member_00007,2026-08-15,occasional,1,0,0,0,1,0
member_00008,2026-08-13,frequent,1,1,0,0,1,0
member_00009,2026-08-06,occasional,1,0,0,0,0,0
member_00010,2026-08-22,frequent,0,1,1,1,0,0
member_00011,2026-08-09,occasional,1,0,0,0,1,0
member_00012,2026-08-05,frequent,1,0,0,0,1,0
member_00013,2026-08-21,occasional,1,1,1,0,0,0
member_00014,2026-08-28,frequent,0,0,0,0,0,0
member_00015,2026-08-23,occasional,0,0,0,0,1,0
member_00016,2026-08-06,frequent,1,1,1,1,0,1
member_00017,2026-08-22,occasional,0,0,0,0,0,0
member_00018,2026-08-18,frequent,1,1,1,1,0,0
member_00019,2026-08-25,occasional,0,0,0,0,0,0
member_00020,2026-08-24,frequent,0,1,1,1,0,0
member_00021,2026-08-23,occasional,0,0,0,0,0,0
member_00022,2026-08-13,frequent,1,1,1,1,1,0
member_00023,2026-08-01,occasional,1,1,0,0,0,0
member_00024,2026-08-22,frequent,0,1,1,1,0,0
member_00025,2026-08-14,occasional,1,0,0,0,0,0
member_00026,2026-08-15,frequent,1,1,0,0,0,0
member_00027,2026-08-20,occasional,1,0,0,0,0,0
member_00028,2026-08-14,frequent,1,1,1,1,1,0
member_00029,2026-08-25,occasional,0,0,0,0,0,0
member_00030,2026-08-07,frequent,1,0,0,0,1,0
member_00031,2026-08-23,occasional,0,0,0,0,0,0
member_00032,2026-08-18,frequent,1,0,0,0,1,0
member_00033,2026-08-18,occasional,1,0,0,0,0,0
member_00034,2026-08-28,frequent,0,1,1,0,0,0
member_00035,2026-08-10,occasional,1,0,0,0,1,0
member_00036,2026-08-08,frequent,1,1,0,0,1,0
member_00037,2026-08-04,occasional,1,0,0,0,1,0
member_00038,2026-08-19,frequent,1,1,1,0,1,0
member_00039,2026-08-12,occasional,1,1,1,1,1,0
member_00040,2026-08-25,frequent,0,1,1,0,0,0
member_00041,2026-08-04,occasional,1,0,0,0,1,0
member_00042,2026-08-17,frequent,1,1,1,1,1,0
member_00043,2026-08-13,occasional,1,0,0,0,0,0
member_00044,2026-08-03,frequent,1,0,0,0,1,0
member_00045,2026-08-26,occasional,0,1,0,0,0,0
member_00046,2026-08-28,frequent,0,1,0,0,0,0
member_00047,2026-08-22,occasional,0,0,0,0,0,0
member_00048,2026-08-04,frequent,1,1,1,0,1,0
member_00049,2026-08-05,occasional,1,1,1,1,0,0
member_00050,2026-08-02,frequent,1,0,0,0,1,0
member_00051,2026-08-06,occasional,1,0,0,0,0,0
member_00052,2026-08-16,frequent,1,0,0,0,0,0
member_00053,2026-08-11,occasional,1,1,1,1,1,0
member_00054,2026-08-09,frequent,1,1,1,1,1,0
member_00055,2026-08-08,occasional,1,0,0,0,1,0
member_00056,2026-08-01,frequent,1,1,1,1,0,0
member_00057,2026-08-03,occasional,1,0,0,0,0,0
member_00058,2026-08-27,frequent,0,0,0,0,0,0
member_00059,2026-08-13,occasional,1,0,0,0,0,0
member_00060,2026-08-23,frequent,0,1,0,0,1,0
member_00061,2026-08-04,occasional,1,1,1,1,0,0
member_00062,2026-08-24,frequent,0,1,0,0,0,0
member_00063,2026-08-11,occasional,1,0,0,0,0,0
member_00064,2026-08-22,frequent,0,1,0,0,1,0
member_00065,2026-08-28,occasional,0,1,1,0,0,0
member_00066,2026-08-26,frequent,0,1,0,0,0,0
member_00067,2026-08-19,occasional,1,0,0,0,0,0
member_00068,2026-08-23,frequent,0,0,0,0,1,0
member_00069,2026-08-09,occasional,1,0,0,0,0,0
member_00070,2026-08-24,frequent,0,1,1,1,0,0
member_00071,2026-08-07,occasional,1,1,1,1,0,0
member_00072,2026-08-13,frequent,1,1,1,0,1,0
member_00073,2026-08-02,occasional,1,1,1,1,0,0
member_00074,2026-08-04,frequent,1,1,1,1,0,0
member_00075,2026-08-19,occasional,1,1,1,1,1,0
member_00076,2026-08-13,frequent,1,1,1,0,0,0
member_00077,2026-08-04,occasional,1,0,0,0,0,0
member_00078,2026-08-01,frequent,1,1,1,1,0,0
member_00079,2026-08-05,occasional,1,0,0,0,0,0
member_00080,2026-08-04,frequent,1,1,1,1,1,0
member_00081,2026-08-17,occasional,1,1,1,0,1,0
member_00082,2026-08-23,frequent,0,1,1,0,1,1
member_00083,2026-08-11,occasional,1,0,0,0,0,0
member_00084,2026-08-10,frequent,1,1,0,0,0,0
member_00085,2026-08-23,occasional,0,0,0,0,0,0
member_00086,2026-08-23,frequent,0,1,1,1,1,0
member_00087,2026-08-16,occasional,1,0,0,0,0,0
member_00088,2026-08-14,frequent,1,1,1,1,1,0
member_00089,2026-08-25,occasional,0,0,0,0,1,0
member_00090,2026-08-19,frequent,1,1,0,0,0,0
member_00091,2026-08-03,occasional,1,1,1,0,0,0
member_00092,2026-08-05,frequent,1,1,0,0,0,0
member_00093,2026-08-13,occasional,1,0,0,0,1,0
member_00094,2026-08-20,frequent,1,1,0,0,1,0
member_00095,2026-08-02,occasional,1,0,0,0,0,0
member_00096,2026-08-20,frequent,1,1,1,1,0,0
member_00097,2026-08-24,occasional,0,0,0,0,0,0
member_00098,2026-08-20,frequent,1,1,1,1,1,0
member_00099,2026-08-05,occasional,1,0,0,0,1,0
member_00100,2026-08-06,frequent,1,0,0,0,1,0
member_00101,2026-08-20,occasional,1,0,0,0,1,0
member_00102,2026-08-23,frequent,0,1,1,0,1,0
member_00103,2026-08-11,occasional,1,0,0,0,0,0
member_00104,2026-08-24,frequent,0,1,1,0,1,0
member_00105,2026-08-18,occasional,1,1,1,1,1,0
member_00106,2026-08-02,frequent,1,1,0,0,1,0
member_00107,2026-08-04,occasional,1,0,0,0,0,0
member_00108,2026-08-08,frequent,1,1,1,1,1,0
member_00109,2026-08-22,occasional,0,1,1,1,0,0
member_00110,2026-08-06,frequent,1,1,1,1,1,1
member_00111,2026-08-14,occasional,1,0,0,0,1,0
member_00112,2026-08-13,frequent,1,0,0,0,0,0
member_00113,2026-08-09,occasional,1,0,0,0,0,0
member_00114,2026-08-08,frequent,1,1,1,1,1,1
member_00115,2026-08-05,occasional,1,0,0,0,0,0
member_00116,2026-08-09,frequent,1,1,0,0,1,0
member_00117,2026-08-06,occasional,1,0,0,0,0,0
member_00118,2026-08-26,frequent,0,1,0,0,0,0
member_00119,2026-08-14,occasional,1,0,0,0,0,0
member_00120,2026-08-05,frequent,1,1,0,0,1,0
member_00121,2026-08-02,occasional,1,0,0,0,1,0
member_00122,2026-08-16,frequent,1,1,1,1,1,0
member_00123,2026-08-14,occasional,1,0,0,0,0,0
member_00124,2026-08-16,frequent,1,1,1,1,0,0
member_00125,2026-08-12,occasional,1,0,0,0,0,0
member_00126,2026-08-12,frequent,1,1,1,0,1,0
member_00127,2026-08-23,occasional,0,1,1,1,0,0
member_00128,2026-08-22,frequent,0,1,0,0,0,0
member_00129,2026-08-28,occasional,0,1,0,0,0,0
member_00130,2026-08-28,frequent,0,1,1,0,0,0
member_00131,2026-08-11,occasional,1,1,1,0,0,0
member_00132,2026-08-06,frequent,1,1,0,0,1,0
member_00133,2026-08-18,occasional,1,0,0,0,0,0
member_00134,2026-08-20,frequent,1,1,1,0,1,1
member_00135,2026-08-17,occasional,1,0,0,0,0,0
member_00136,2026-08-20,frequent,1,1,1,1,0,0
member_00137,2026-08-26,occasional,0,1,1,1,0,1
member_00138,2026-08-11,frequent,1,1,1,1,1,0
member_00139,2026-08-02,occasional,1,1,0,0,0,0
member_00140,2026-08-28,frequent,0,0,0,0,0,0
member_00141,2026-08-07,occasional,1,0,0,0,0,0
member_00142,2026-08-09,frequent,1,1,0,0,0,0
member_00143,2026-08-04,occasional,1,0,0,0,0,0
member_00144,2026-08-05,frequent,1,0,0,0,0,0
member_00145,2026-08-03,occasional,1,0,0,0,0,0
member_00146,2026-08-09,frequent,1,1,1,0,1,0
member_00147,2026-08-07,occasional,1,0,0,0,0,0
member_00148,2026-08-07,frequent,1,1,1,1,0,0
member_00149,2026-08-12,occasional,1,1,1,1,1,1
member_00150,2026-08-20,frequent,1,1,0,0,1,0
member_00151,2026-08-13,occasional,1,0,0,0,0,0
member_00152,2026-08-23,frequent,0,1,1,1,0,0
member_00153,2026-08-19,occasional,1,0,0,0,0,0
member_00154,2026-08-16,frequent,1,1,0,0,1,0
member_00155,2026-08-18,occasional,1,0,0,0,1,0
member_00156,2026-08-22,frequent,0,1,1,0,1,0
member_00157,2026-08-28,occasional,0,0,0,0,0,0
member_00158,2026-08-11,frequent,1,1,1,1,1,0
member_00159,2026-08-25,occasional,0,0,0,0,0,0
member_00160,2026-08-15,frequent,1,1,1,0,1,0
member_00161,2026-08-17,occasional,1,1,1,1,1,0
member_00162,2026-08-26,frequent,0,1,1,1,0,0
member_00163,2026-08-21,occasional,1,0,0,0,0,0
member_00164,2026-08-26,frequent,0,1,0,0,0,0
member_00165,2026-08-24,occasional,0,0,0,0,0,0
member_00166,2026-08-14,frequent,1,1,1,0,0,0
member_00167,2026-08-14,occasional,1,0,0,0,0,0
member_00168,2026-08-10,frequent,1,1,0,0,1,0
member_00169,2026-08-21,occasional,1,0,0,0,0,0
member_00170,2026-08-15,frequent,1,1,1,0,1,0
member_00171,2026-08-12,occasional,1,0,0,0,0,0
member_00172,2026-08-04,frequent,1,0,0,0,1,0
member_00173,2026-08-05,occasional,1,0,0,0,1,0
member_00174,2026-08-19,frequent,1,1,0,0,1,0
member_00175,2026-08-28,occasional,0,1,0,0,0,0
member_00176,2026-08-23,frequent,0,1,1,0,1,0
